app,review,stars,at,userName,thumbsUpCount,replyContent,review_clean,char_len,word_len,vader_compound,vader_label,tb_polarity,stars_label
Swiggy,"They have a terrible service. It's just surface level numbers in their success metrics and no depth. I don't understand how they are still operational. Guys, cut down on services you can't offer, focus on your core. Couple of things, while we are at this: 1. You can't do late night service. 2. Your customer care is bad. 3. You can't handle grocery 10 mins. Be clear about what you're offering. Develop a different USP. Just don't be competitive for the sake of it.",1,2025-10-05 21:28:44,Rahul Yadav,0,This shouldn't have happened. Kindly help us with the order ID along with the details of the issue by writing to us at swiggysocial@swiggy.in from your registered email ID & we will have this checked.,terrible service surface level number success metric depth understand still operational guy cut service offer focus core couple thing late night service customer care bad handle grocery min clear offer develop different usp competitive sake,466,35,-0.2306,negative,-0.25079365079365074,negative
Swiggy,worst app i faced delivery issues 2-3 times and everytime they do not refund my money and their customer service are worst,1,2025-10-05 21:22:33,Navika Sharma,0,That doesn't seem right. Kindly help us with more details of this concern by writing to us at swiggysocial@swiggy.in from your registered email ID and we'll get this checked right away for you.,bad app face delivery issue time everytime refund money customer service bad,122,12,-0.8481,negative,-1.0,negative
Swiggy,bad service,1,2025-10-05 21:22:21,Lokesh Kumar meena,0,"Hey there, we are sorry to have put you through such a situation. We would like to make amends and request you to kindly share the order ID along with the details of your concern at swiggysocial@swiggy.in and we will do what it takes to turn this around!",bad service,11,2,-0.5423,negative,-0.6999999999999998,negative
Swiggy,not satisfied,1,2025-10-05 21:17:33,Sai kumar,0,"Hi, please let us know how we can make our service better by writing to us at swiggysocial@swiggy.in from your registered email address.",satisfied,13,1,-0.3252,negative,-0.25,negative
Swiggy,worst experience ever even i am black one customer u are wrost i think before blinkit no swiggy wow what a coincidence i was cheated even after paying for no customer service i mailed,1,2025-10-05 21:14:11,Raghavendra Uppalapati,0,"Hi, please write to us about your experience at swiggysocial@swiggy.in from your registered email address, so we can better our services.",bad experience ever even black one customer wrost think blinkit swiggy wow coincidence cheat even pay customer service mail,183,19,-0.9309,negative,-0.35555555555555557,negative
Swiggy,okay,5,2025-10-05 21:11:37,Rageev Yadav,0,"Hey there, thank you for the valuable feedback. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",okay,4,1,0.2263,positive,0.5,positive
Swiggy,awesome,5,2025-10-05 21:07:58,Nidhi Sharma,0,"Hey, thank you for the ratings. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",awesome,7,1,0.6249,positive,1.0,positive
Swiggy,nice,5,2025-10-05 21:05:59,Abdullatif Ansari,0,"Hey, thank you for the ratings. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",nice,4,1,0.4215,positive,0.6,positive
Swiggy,very very super app food coming fast 💗,5,2025-10-05 21:03:49,Rohit,0,"Hey, thank you for your feedback. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",super app food come fast grow heart,38,7,0.8852,positive,0.31666666666666665,positive
Swiggy,"bad experience everytime, looks they don't have sufficient delivery executives.",1,2025-10-05 20:59:15,prateek Dhingra,0,This shouldn't have happened. Kindly help us with the order ID along with the details of the issue by writing to us at swiggysocial@swiggy.in from your registered email ID & we will have this checked.,bad experience everytime look sufficient delivery executive,79,7,-0.5423,negative,-0.6999999999999998,negative
Swiggy,good💯,5,2025-10-05 20:42:46,Harsh singh Rana,0,"Hey there, we are thankful to you for your review! We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",good hundred point,5,3,0.4404,positive,0.0,positive
Swiggy,Very bad customer support did not get a refund of the undelivered order and I am not going to use this app now onwards zomato is way better.,1,2025-10-05 20:38:11,rohan tandon,0,"Hello, we're sorry for the unpleasant experience. Please share your concern along with your order details via email at swiggysocial@swiggy.in so that we will look into this & assist you better.",bad customer support get refund undelivered order use app onwards zomato way well,140,13,0.2665,positive,-0.2049999999999999,negative
Swiggy,worst services,1,2025-10-05 20:36:19,Rohit Dutta,0,"Hey there, sorry for the delay in delivering the food. Please share the order details to swiggysocial@swiggy.in and we will check this and address it.",bad service,14,2,-0.6249,negative,-1.0,negative
Swiggy,good,5,2025-10-05 20:34:47,Sonu B boy,0,"Hey, thank you for your kind review. We hope to keep on giving you a consistent service every time. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",good,4,1,0.4404,positive,0.7,positive
