app,review,stars,at,userName,thumbsUpCount,replyContent
Swiggy,"They have a terrible service. It's just surface level numbers in their success metrics and no depth. I don't understand how they are still operational. Guys, cut down on services you can't offer, focus on your core. Couple of things, while we are at this: 1. You can't do late night service. 2. Your customer care is bad. 3. You can't handle grocery 10 mins. Be clear about what you're offering. Develop a different USP. Just don't be competitive for the sake of it.",1,2025-10-05 21:28:44,Rahul Yadav,0,This shouldn't have happened. Kindly help us with the order ID along with the details of the issue by writing to us at swiggysocial@swiggy.in from your registered email ID & we will have this checked.
Swiggy,worst app i faced delivery issues 2-3 times and everytime they do not refund my money and their customer service are worst,1,2025-10-05 21:22:33,Navika Sharma,0,That doesn't seem right. Kindly help us with more details of this concern by writing to us at swiggysocial@swiggy.in from your registered email ID and we'll get this checked right away for you.
Swiggy,bad service,1,2025-10-05 21:22:21,Lokesh Kumar meena,0,"Hey there, we are sorry to have put you through such a situation. We would like to make amends and request you to kindly share the order ID along with the details of your concern at swiggysocial@swiggy.in and we will do what it takes to turn this around!"
Swiggy,not satisfied,1,2025-10-05 21:17:33,Sai kumar,0,"Hi, please let us know how we can make our service better by writing to us at swiggysocial@swiggy.in from your registered email address."
Swiggy,worst experience ever even i am black one customer u are wrost i think before blinkit no swiggy wow what a coincidence i was cheated even after paying for no customer service i mailed,1,2025-10-05 21:14:11,Raghavendra Uppalapati,0,"Hi, please write to us about your experience at swiggysocial@swiggy.in from your registered email address, so we can better our services."
Swiggy,okay,5,2025-10-05 21:11:37,Rageev Yadav,0,"Hey there, thank you for the valuable feedback. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better."
Swiggy,awesome,5,2025-10-05 21:07:58,Nidhi Sharma,0,"Hey, thank you for the ratings. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better."
Swiggy,nice,5,2025-10-05 21:05:59,Abdullatif Ansari,0,"Hey, thank you for the ratings. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better."
Swiggy,very very super app food coming fast 💗,5,2025-10-05 21:03:49,Rohit,0,"Hey, thank you for your feedback. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better."
Swiggy,"bad experience everytime, looks they don't have sufficient delivery executives.",1,2025-10-05 20:59:15,prateek Dhingra,0,This shouldn't have happened. Kindly help us with the order ID along with the details of the issue by writing to us at swiggysocial@swiggy.in from your registered email ID & we will have this checked.
Swiggy,good💯,5,2025-10-05 20:42:46,Harsh singh Rana,0,"Hey there, we are thankful to you for your review! We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better."
Swiggy,Very bad customer support did not get a refund of the undelivered order and I am not going to use this app now onwards zomato is way better.,1,2025-10-05 20:38:11,rohan tandon,0,"Hello, we're sorry for the unpleasant experience. Please share your concern along with your order details via email at swiggysocial@swiggy.in so that we will look into this & assist you better."
Swiggy,worst services,1,2025-10-05 20:36:19,Rohit Dutta,0,"Hey there, sorry for the delay in delivering the food. Please share the order details to swiggysocial@swiggy.in and we will check this and address it."
Swiggy,good,5,2025-10-05 20:34:47,Sonu B boy,0,"Hey, thank you for your kind review. We hope to keep on giving you a consistent service every time. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better."
Swiggy,Nice,5,2025-10-05 20:23:32,Gulya laskar,0,"Hey, thank you for your kind review. We hope to keep on giving you a consistent service every time. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better."
Swiggy,awesome 👍,5,2025-10-05 20:17:00,Yogi Bhojaiya,0,"Hey there, thank you for the valuable feedback. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better."
Swiggy,good,5,2025-10-05 20:13:41,Masoom Alam,0,"Hey, thank you for the ratings. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better."
Swiggy,good service 👍,4,2025-10-05 20:12:41,Shadab Ahamad,0,"Hey, thank you for the ratings. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better."
Swiggy,nice,5,2025-10-05 20:05:56,Urvashi jangle,0,"Hey there, thank you for the valuable feedback. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better."
Swiggy,good,5,2025-10-05 20:05:15,Rupa Rana,0,"Hey, thank you for your kind review. We hope to keep on giving you a consistent service every time. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better."
Swiggy,fraud app. never order from them,1,2025-10-05 20:04:20,Mayank Saxena,0,"Hi there, we're sorry for the unpleasant experience. Please share your concerns via email at swiggysocial@swiggy.in & we'll surely work towards improving the services."
Swiggy,"i don't get how many charges there are, we pay bloated restaurant prices, platform fee, and now packaging fee. so the brand advertises itself on the packaging at my expense. Wonderful.",1,2025-10-05 19:55:53,ARPAN DIXIT,0,"Hey, we request you to let us know more about your experience by writing us an email at swiggysocial@swiggy.in from your registered email ID so that we can have your concern addressed."
Swiggy,ok,5,2025-10-05 19:55:00,Sanjit Roy,0,"Thank you for your excellent rating. Your feedback serves as a strong motivation for us to continue delivering exceptional service, which is our ongoing commitment. We hope you continue to enjoy Swiggy. 🧡
"
Swiggy,good,5,2025-10-05 19:49:38,Chikka,0,"Hey, thank you for your feedback. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better."
Swiggy,nice app,5,2025-10-05 19:48:02,Vikash Goswami,0,"Hey, thank you for your kind review. We hope to keep on giving you a consistent service every time. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better."
Swiggy,"This application is very bad, first they take the order, then they make it wait and then cancel the model, these people are fooling all the customers, I am suggesting you all not to use this app.",1,2025-10-05 19:44:45,A BCD,0,"Hi there, we are sorry for any hassle you have faced while ordering with us. Please share the order ID along with the details of the issue by writing to us at swiggysocial@swiggy.in from your registered email address and we would be happy to connect with you and resolve the matter."
Swiggy,"par order 20 ,30,40,50 😏😏😏",1,2025-10-05 19:36:15,Anup Maid,0,"Hi, please write to us about your experience at swiggysocial@swiggy.in from your registered email address, so we can better our services."
Swiggy,👍,5,2025-10-05 19:34:15,Geetha Lakshmi,0,"Hey there, thank you for the valuable feedback. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better."
Swiggy,great delivery partner i wish ur work same as it is forever💯♥️,5,2025-10-05 19:33:03,AdityaAwasthi Rbl,0,"Hey there, we are thankful to you for your review! We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better."
Swiggy,These days swiggy service has gone down way below standard.,1,2025-10-05 19:32:27,Anurag Saxena,0,"We sincerely apologize for the inconvenience you are experiencing. Please provide us with the order ID by sending an email to swiggysocial@swiggy.in, so that we may assist you in resolving this matter promptly.
"
Swiggy,nice,5,2025-10-05 19:31:03,Kushwaha Gurdyalsingh,0,"Hey, thank you for the ratings. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better."
Swiggy,Fukrey murder,1,2025-10-05 19:28:38,Tech help Jay mandavi 750 Mandavi,0,"Hello, we would like to know more about it. Please write to us at swiggysocial@swiggy.in with relevant details elaborating further on your ordering experience with us, so we can set this right for you."
Swiggy,Swiggy help support system is not at all good without payment also the order gets placed and in the very next second you can't even cancel the order. Please improve that,3,2025-10-05 19:22:28,Uzma Sadaf,0,"Hey, thank you for the ratings. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better."
Swiggy,too slow service it's about more than 1 hour that I placed my order,1,2025-10-05 19:10:43,Nasir Ahmad,0,"Hi, please let us know how we can make our service better by writing to us at swiggysocial@swiggy.in from your registered email address."
Swiggy,better than zomato,4,2025-10-05 19:04:13,Ashish Kumar,0,"Hey, thank you for your feedback. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better."
Swiggy,awesome,5,2025-10-05 19:04:00,Møzëz Carter,0,"Hey, thank you for your kind review. We hope to keep on giving you a consistent service every time. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better."
Swiggy,worst app ever dilivery partner's always hungry to eat our food,1,2025-10-05 19:03:22,Nikhil Kushwaha,0,"Hi, please write to us about your experience at swiggysocial@swiggy.in from your registered email address, so we can better our services."
Swiggy,so nice,5,2025-10-05 18:59:32,Pulak Bordoloi,0,"Hey, thank you for your feedback. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better."
Swiggy,better,5,2025-10-05 18:59:02,Akshit Saini,0,"Hey, thank you for your feedback. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better."
Swiggy,good service,5,2025-10-05 18:58:36,Blgblack Boy,0,"Hey there, thank you for the valuable feedback. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better."
Swiggy,super 👌,5,2025-10-05 18:51:09,Geesala Surya Prabhakar,0,"Hey there, we are thankful to you for your review! We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better."
Swiggy,I order some items form swiggy and then I cancelled my order but it's not give my refund payment and say me refund is not receive you I then it's charged my amount and deduct totally amount on my cancelled order.,1,2025-10-05 18:48:56,Sumer Shah,0,"Hey there, we are sorry for the unpleasant experience you had. Please share more details about the incident by writing an email at swiggysocial@swiggy.in from your registered email ID. we'll take it up."
Swiggy,"despite paying extra, my order is still being delayed",1,2025-10-05 18:47:41,Alok Parihar,0,"Hey, we request you to let us know more about your experience by writing us an email at swiggysocial@swiggy.in from your registered email ID so that we can have your concern addressed."
Swiggy,good,5,2025-10-05 18:47:32,Mujahid,0,"Hey, thank you for the ratings. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better."
Swiggy,very bad customer service. there is no professionalism when it comes to resolving issues. I had raised issue with my order but no action or acknowledgment was given.,1,2025-10-05 18:47:12,Mahitha M,0,"Hey there, we are sorry to have put you through such a situation. We would like to make amends and request you to kindly share the order ID along with the details of your concern at swiggysocial@swiggy.in and we will do what it takes to turn this around!"
Swiggy,good,5,2025-10-05 18:46:56,Somnath Das,0,"Hey there, we are thankful to you for your review! We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better."
Swiggy,good super working,5,2025-10-05 18:45:34,Chantrian Chantrian,0,"Hey, thank you for your feedback. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better."
