app,review,stars,at,userName,thumbsUpCount,replyContent
Zomato,High charges appied and change policy regarding gst,1,2025-10-05 21:25:21,RUSHIKESH TAWAR,0,
Zomato,great food app,5,2025-10-05 21:24:08,Kalawati Devi,0,
Zomato,very bad,1,2025-10-05 21:23:57,Nipa5 Roy7,0,
Zomato,good,4,2025-10-05 21:22:27,usha reshma,0,
Zomato,it too good 👍,5,2025-10-05 21:03:14,Dastagir Shaik,0,
Zomato,excellent,4,2025-10-05 21:00:16,Shobhit kumar,0,
Zomato,I appreciate having an option to pre book orders in zomato.. that's quite impressive,5,2025-10-05 20:51:58,John Mathew,0,
Zomato,I dont want a rating shown for me specifically. Why are you hiding reviews that was available from the page where food can be ordered. Also why have you stopped showing how many people provided review for the individual items?,1,2025-10-05 20:49:19,Aldrin T A G,0,
Zomato,good,5,2025-10-05 20:47:45,mohd rehan,0,
Zomato,They don't even give a customer support number. shame on you zomato it's totally unacceptable from a company like you.,1,2025-10-05 20:43:45,Tushar Kumar,0,
Zomato,"Items were missing in the package, and the food got spilled. delivery boy kept the pizza box upside down. and no option to connect to customer service. you have to play email email for everything",1,2025-10-05 20:43:27,vivek kakkar,0,
Zomato,worst food delivery app. It always delay your order by 1-2 hours unnecessarily. very disappointed.,1,2025-10-05 20:32:29,Rishi Shekhar,0,
Zomato,good,5,2025-10-05 20:30:41,Chunnu Patel,0,
Zomato,delivery charge km kr do yr,5,2025-10-05 20:22:46,Aarushi Mishra,0,
Zomato,awesome 👍,5,2025-10-05 20:07:20,Abhishek Sharma,0,
Zomato,Very bad app,1,2025-10-05 20:02:00,indra,0,
Zomato,It's really good the riders get us the food warm and on time,5,2025-10-05 19:58:51,Akihito Chophy,0,
Zomato,good service Zomato,5,2025-10-05 19:55:39,P Sen,0,
Zomato,good,5,2025-10-05 19:44:53,Faisal Aftab,0,
Zomato,fanstistk service but blinkit service my area not available,5,2025-10-05 19:42:51,AMAR KUMAR (KRISHNA KUMAR),0,
Zomato,nice 👍🏻,5,2025-10-05 19:39:19,MR JIVAN GAMER,0,
Zomato,saviour for night hunger,4,2025-10-05 19:33:48,Mohammad Sameer,0,
Zomato,good,3,2025-10-05 19:33:32,Santosh Kumar,0,
Zomato,Excellent experience with zomato,5,2025-10-05 19:31:37,jatin bhasin,0,
Zomato,superb,5,2025-10-05 19:24:46,Godwin DD,0,
Zomato,amezing,5,2025-10-05 19:21:24,Pryanka Ajeetsingh,0,"Thank you for your deliciously kind words! If you have any food for thought or tasty suggestions, we're all ears! Keep on ordering and bon appétit!"
